エピソードのタイトル,ストリーミング数とダウンロード数,ランク,Episode URI
菌血症の治療期間　7日間 vs 14日間　NEJM,141,1,spotify:episode:6IQ20bLqBF2uQPM7jseCUf
BSI（血流感染症）に対する抗菌薬投与期間の短期 vs 長期比較　eClinicalMedicine,113,2,spotify:episode:6G4KYm35yN1Wk5PR3eHmob
反科学はなぜ広がる？科学界の課題と情報の混沌に立ち向かう術　Nature Reviews Microbiology,103,3,spotify:episode:5CQXxULjIl1IykI3ihgzGP
IEの常識が変わる？！左心系感染性心内膜炎の「点滴から飲み薬へ」新しい治療選択肢を徹底解説　NEJM,101,4,spotify:episode:6OV33HocSfwY9OI2wnw7gK
2024～2025年のCOVID-19ワクチンの有効性に関する中間解析　MMWR,98,5,spotify:episode:0WCtzdP3Epz5wCQ4kX9jG6
感染性心内膜炎の治療革命！？経口抗菌薬への早期切り替えは安全か？ENDO-ORAL研究が示す新たな選択肢と患者のQOL向上　CID,94,6,spotify:episode:5r2uYZRGv4tUeF9qlblbfZ
レビュー：カンジダ血症治療の新常識？「非複雑性」定義で変わる未来と過剰治療の終わり　Lancet ID,91,7,spotify:episode:6wmqpyBFjxN1zVi6qdqZq6
レジオネラ肺炎に対するマクロライド＋キノロン併用療法の有効性評価　IJID,91,8,spotify:episode:6VucUaEfve5R6Zy6F7FDty
流行情報：麻疹 2025年5月現在　病原微生物検出情報（IASR）国立感染症研究所 2025年7月,88,9,spotify:episode:2oVhKLs9YBZ2DlqMfKcHuN
【チクングニア警鐘】2025年フランスの異例な感染拡大から学ぶ、北上する脅威と迫られる公衆衛生戦略の転換　Eurosurveillance,87,10,spotify:episode:2fz3uHjXchGSmH6qYut9Sq
COVID-19禍後における米国小児での風土性ウイルス再流行の動態解析　Lancet ID,87,11,spotify:episode:5MP2qafrM7MlQttbOyBHsH
ガイドライン：結核性髄膜炎　診断と治療の最前線、そして残された課題　Lancet ID,86,12,spotify:episode:5B462EswbfwnvrVqIEecbt
論説：「免疫の傷」？免疫負債だけでは説明できない？コロナが変えた私たちの免疫システムの謎　BMJ,81,13,spotify:episode:4V0nBMOuRb5dte3aRZkohI
HIV陽性のMSMを対象とした9価HPVワクチンの免疫原性評価試験（GeSIDA Study 10017）　CID,81,14,spotify:episode:06VwV6gu1PGs0DPCR1PRii
流行情報：日本におけるSFTSの今　病原微生物検出情報（IASR）国立感染症研究所 2025年8月,80,15,spotify:episode:1KvvuKTIAsgeurz9MUZNkN
PCRによる鼻腔スクリーニングは肺炎患者の抗MRSA薬適正使用を促進する　Antimicrobial Resistance & Infection Control,80,16,spotify:episode:5F2wZuHQz2Ht4kcOfunH0Y
Candida auris 感染患者の地域差に基づく臨床プロファイル比較　Antimicrobial Stewardship & Healthcare Epidemiology,80,17,spotify:episode:2wGPxWo3hF02vOS1HEDOWm
レビュー：5類感染症時代のCOVID‑19の臨床経過と管理　Nature Reviews Microbiology,80,18,spotify:episode:1vQf6jsbUZx7VulM86M92f
レビュー：SARS-CoV-2の生物学と宿主相互作用　Nature Reviews Microbiology,79,19,spotify:episode:6l0YueX1gERHFN0um8nYdH
論説：ワクチン推奨変更の波紋　妊婦と子どものコロナワクチンを巡る混乱の深層　JAMA,78,20,spotify:episode:6h4jjnpkSKt9bXV0wBqt1x
イタリアにおける麻疹の免疫ギャップと発生リスクの評価 Lancet ID,78,21,spotify:episode:0zsLLjOYekLqNl0QVhMyd2
ガイドライン：糖尿病足病変　国際ガイドラインIWGDF-IDSA_2023徹底解説～診断から治療、最新の知見と多角的アプローチ～　CID,76,22,spotify:episode:4XQXcYjjxlMk0Yjt0aPSR5
レビュー：感染症医のためのデバイス感染症の基礎知識　OFID,76,23,spotify:episode:25jUP5h1LX2w8RtdG2jsZB
日本におけるレジオネラ肺炎の全国疫学分析（DPCデータベース研究）　Journal of Epidemiology,76,24,spotify:episode:1teb3AAhmVfZneRN6va7V8
SBT/ABPC vs CTRX、高齢者の市中肺炎患者に対する初期治療として良いのはどっち？　OFID,76,25,spotify:episode:4DzIrAeNLjMXtTwjnFp4Ew
Letter: 日本でのABPC/SBT過少投与による肺炎の治療成績　CID,75,26,spotify:episode:2rn4VeljBGO3gFDD6e9Zw2
市中肺炎の治療期間、3日でも良いか　Lancet,75,27,spotify:episode:3ttMhloFTQlbKhkw1GFfem
症例報告：HIVの稀な神経症状OMASと「CSF血漿HIV-1 RNA不一致」の衝撃　OFID,74,28,spotify:episode:2LJoLQpzSGpWmgzlRqZI35
流行情報：感染症発生動向調査週報（IDWR）国立感染症研究所 2025年第31・32週（第31・32合併号）,74,29,spotify:episode:15L5bTiWlEgnzg0yOGUgwl
狂犬病治療「ミルウォーキープロトコル」再考　CID,74,30,spotify:episode:0cp9l7oyZg4hlsfmkRdCHH
DOXY PEPの不適切な使用の調査、オランダ　Eurosurveillance,73,31,spotify:episode:2ReV1SWJvxLi55KSPFczt7
医療従事者のワクチン接種率向上戦略：多角的介入が行動を変える！〜Eurosurveillanceレビューから紐解く効果的なアプローチ〜　Eurosurveilance,72,32,spotify:episode:7IqmtHHv3WgVeYTiLLTZJp
腸チフス発生率の世界的最新評価 Lancet ID,72,33,spotify:episode:32XRkKm4IWGbrVhP00SjfN
長期介護施設における紫外線殺菌装置の急性呼吸器感染症発症抑制効果　Annals of Internal Medicine,72,34,spotify:episode:1AgwWaqmixwSpufvWotqm9
レビュー：呼吸器ウイルス「同時感染」：あなたの体で繰り広げられる、ウイルスたちの知られざる攻防戦　Nature Reviews Microbiology,71,35,spotify:episode:62U2ZJZGk9ulR31WCUVCkR
レビュー：感染症医のためのアルファ‑ガル症候群入門　OFID,71,36,spotify:episode:2kEsrBLgjO2YdGnbcLjACl
高齢者におけるRSV入院と心血管イベントリスクの増加　Journal of the American Geriatrics Society,71,37,spotify:episode:6DsLvbQSoXxCTwmU4Qt8Cg
レビュー：微生物学者のための機械学習応用　Nature Reviews Microbiology,71,38,spotify:episode:4OBme9XXkcP2Yj59AwpJ3F
レビュー：麻疹2025 現状と展望　NEJM,71,39,spotify:episode:0zQt3PrMK46sj0Zu3FHhay
セフェピム vs カルバペネム：AmpC産生腸内細菌血流感染症の治療成績比較　OFID,70,40,spotify:episode:3psZyLVhi5X4QnJtjxFqce
レビュー：気候変動とヒトの活動が節足動物媒介感染症に与える影響　Nature Reviews Microbiology,70,41,spotify:episode:4o1iHUqDDHUbwyyWYOC9Cn
レビュー：女性における非複雑性尿路感染症の再発　CID,68,42,spotify:episode:7gcsdJyDHYvqCVFdMnUWYB
耐性菌の逆襲！トロイの木馬「セフィデロコル」とカルバペネム耐性大腸菌CRECの知られざる戦い　Journal of Infection,67,43,spotify:episode:1T6n3zcol7MEwjTD1zGtZi
レビュー：カンジダ症の診断と治療に関する包括的な国際ガイドライン　Lancet ID,67,44,spotify:episode:27Z6nSDwA37gPZjy14D2tg
アジスロマイシンの集団投与と肺炎球菌の薬剤耐性　Lancet ID,67,45,spotify:episode:2F6UXGLDV8cFiPhy18OsnF
流行情報：感染症発生動向調査週報（IDWR）国立感染症研究所 2025年第30号,66,46,spotify:episode:2rAWy9q0rSr0mGFeMf2OII
レビュー：耐性菌に対する代替治療戦略　Nature Reviews Microbiology,66,47,spotify:episode:3He0GWhbqKY7tigy306F9R
髄液に対するメタゲノム次世代シーケンス（mNGS）の診断的有用性　CID,66,48,spotify:episode:7umOcp1QurzH9Hfo7k77BZ
腸内細菌目細菌による菌血症のDe-escalation：SIMPLIFY Trial　Lancet ID,65,49,spotify:episode:4l2rQkt21zsbGBPkH4uMWF
レビュー：アフリカにおけるアルテミシニン部分耐性の出現・伝播動態・メカニズム　Nature Reviews Microbiology,64,50,spotify:episode:1sqZtK8fQj9rSuek5MeLnS
アメリカのコロナワクチン政策　FDAの方針とそれに対する反論　NEJM,64,51,spotify:episode:52HUZlBPietv2i3D1T0SNy
レビュー：RSウイルスワクチンとモノクローナル抗体の現状　Lancet ID,64,52,spotify:episode:5mXIvmjfuXklELL6q5ksTQ
腺ペストに対するシプロフロキサシン単剤療法の有効性検証　NEJM,63,53,spotify:episode:3lnAH60c1vtv1dJTGsBaXH
医療ツーリズムに伴うフサリウム性真菌性髄膜炎アウトブレイク：米国における2023年の症例解析　CID,63,54,spotify:episode:7aQ06UKxtzZen9lrOvHdzX
黄色ブドウ球菌菌血症治療の革命？新薬ダルババンシンが患者の選択肢を変えるDOTS試験徹底解説　JAMA,61,55,spotify:episode:3C99REylFmO6xt9mJNgxxX
帯状疱疹ワクチンの有効性　CID,61,56,spotify:episode:6S2PkTckqhDOgknKqvVMsg
Letter ：血液培養陽性と心内膜炎のリスク評価　CID,61,57,spotify:episode:0Kf2WwQIx5vYs4dTjXqekI
土壌伝播寄生虫（STH）感染の地域集団における駆虫戦略の検証　 Lancet,60,58,spotify:episode:4BxYpExh9HLipd6AtUoyeK
レビュー：侵襲性A群レンサ球菌感染症　2022-23年の急増から学んだ教訓　Lancet ID,59,59,spotify:episode:6eiumnGOpcmebt2M6H9Suk
免疫不全患者における経験的広域抗菌薬の使用が、患者の臨床転帰に与える影響　CID,59,60,spotify:episode:6NBIBV3d8Hv3Qd96MqHQyT
COVID-19と認知機能の変化：コミュニティベースコホート研究　JAMA Network Open,59,61,spotify:episode:4eILjpz9cNMntx6TUEoV1P
カルバペネムの事前承認が長期的に与える影響について（佐賀大学医学部附属病院）　JHI,59,62,spotify:episode:72WsdiJVUeDKH6GhnzjD6Z
レビュー：神経梅毒　CID,57,63,spotify:episode:18I6KUyFvOp6a24wnSZVi0
